iter	RMSE
691	0.4087219375
692	0.4084973813
693	0.4083038206
694	0.4080668217
695	0.4078222163
696	0.4076945559
697	0.4074792007
698	0.4074046041
699	0.4072196626
700	0.4070208217
701	0.4067758845
702	0.4065993919
703	0.4064713708
704	0.4060933533
705	0.4059112804
706	0.4057472516
707	0.4054999451
708	0.4054010691
709	0.4053097027
710	0.4051389912
711	0.4049769032
712	0.4047969852
713	0.4046244723
714	0.404498297
715	0.4042860691
716	0.4040552521
717	0.4039531156
718	0.4038716564
719	0.4035733371
720	0.4034811924
721	0.4034065623
722	0.4033127113
723	0.4030178833
724	0.4029142499
725	0.4027544023
726	0.4025563993
727	0.4023938777
728	0.4022786408
729	0.4021695114
730	0.4020787438
731	0.4018584828
732	0.4017972771
733	0.4016034576
734	0.4015387718
735	0.4014331792
736	0.4012757307
737	0.4012284176
738	0.4010805943
739	0.4008866534
740	0.4007748122
741	0.4005411613
742	0.4004747326
743	0.400341836
744	0.4002547513
745	0.4001570636
746	0.3998480322
747	0.399742531
748	0.3996137619
749	0.3994586132
750	0.399242398
751	0.3991640999
752	0.3990923297
753	0.3989001029
754	0.398823048
755	0.3987715827
756	0.3986624297
757	0.3984305163
758	0.3983163567
759	0.3980409622
760	0.3979849506
761	0.3978998749
762	0.3977573944
763	0.3975145335
764	0.3973732707
765	0.3972944241
766	0.3971970703
767	0.3970363426
768	0.3969042797
769	0.396828116
770	0.3966229683
771	0.3965242254
772	0.3964551928
773	0.3962850441
774	0.3961989295
775	0.396123079
776	0.3959366243
777	0.3957218717
778	0.395547788
779	0.3954936819
780	0.3953047425
781	0.3952022743
782	0.3949920163
783	0.3948284883
784	0.394567314
785	0.3944750348
786	0.394276666
787	0.3942282547
788	0.3940849984
789	0.3939817536
790	0.3938223326
791	0.3937512552
792	0.3936204928
793	0.3934598775
794	0.3933883192
795	0.3933023445
796	0.3931443376
797	0.3930427443
798	0.3927783781
799	0.3926504352
800	0.3925148255
801	0.3924098102
802	0.3922841538
803	0.3921434561
804	0.3919719724
805	0.3918707476
806	0.3917242193
807	0.3914925862
808	0.3913082906
809	0.3911566699
810	0.3910389532
811	0.3908462423
812	0.3906854376
813	0.3903901423
814	0.3902447212
815	0.3901847368
816	0.3900546164
817	0.3899534495
818	0.3897213048
819	0.3895186716
820	0.3894211891
821	0.3892591624
822	0.3891482427
823	0.3890206129
824	0.3889293757
825	0.3887900887
826	0.3886597783
827	0.3884731311
828	0.3883862406
829	0.3883061896
830	0.388105229
831	0.3878800363
832	0.3876447381
833	0.3875064983
834	0.3873564477
835	0.3872069833
836	0.3870486599
837	0.3869378054
838	0.3868211716
839	0.3866906238
840	0.3866246538
841	0.3865320916
842	0.3864408429
843	0.3863096256
844	0.3862003935
845	0.3860557551
846	0.3859689075
847	0.3859039421
848	0.385850455
849	0.3857325102
850	0.3856640895
851	0.3856086145
852	0.3855435723
853	0.3853878123
854	0.3852526402
855	0.3851933466
856	0.3851478102
857	0.3848913803
858	0.384760733
859	0.3844444238
860	0.3843067246
861	0.384136781
862	0.3840786229
863	0.3839198945
864	0.3836924987
865	0.3835655687
866	0.3834037678
867	0.3832543316
868	0.3831116871
869	0.3829003619
870	0.382766691
871	0.382612406
872	0.3824682399
873	0.3822611143
874	0.3821694808
875	0.3821117506
876	0.3820319683
877	0.381924524
878	0.3818561373
879	0.3816640416
880	0.3815921511
881	0.3815381507
882	0.3814443061
883	0.3813685491
884	0.3812863324
885	0.3809310712
886	0.3808549001
887	0.3807202704
888	0.3805486217
889	0.3804230274
890	0.3803545578
891	0.3802824995
892	0.3801876052
893	0.3800518512
894	0.3798648922
895	0.3797269329
896	0.3796250896
897	0.3794719784
898	0.3792219207
899	0.3791182316
900	0.378955495
901	0.3789194494
902	0.3788078614
903	0.3787347407
904	0.3785897503
905	0.3785341624
906	0.3784222568
907	0.3782883673
908	0.378190085
909	0.3781390775
910	0.3779775097
911	0.3778825936
912	0.3776537165
913	0.3775582213
914	0.3774901793
915	0.3773244252
916	0.3771454622
917	0.3770274047
918	0.3769137481
919	0.3768152737
920	0.3766907792
921	0.3765223261
922	0.3763860025
923	0.3763154513
924	0.3762185936
925	0.3760943619
926	0.3759804509
927	0.3758220754
928	0.3757409441
929	0.3756282185
930	0.3755338989
931	0.3754323933
932	0.3753740787
933	0.3753281856
934	0.3751636883
935	0.3749380493
936	0.3748847768
937	0.3747619995
938	0.374652246
939	0.3745275042
940	0.374442349
941	0.3743700439
942	0.3742376334
943	0.3741021076
944	0.3740440443
945	0.3739746707
946	0.3738461112
947	0.3736724599
948	0.3735100108
949	0.3734150812
950	0.3732331278
951	0.3729470644
952	0.3728611428
953	0.3728016909
954	0.372726818
955	0.3726681821
956	0.3725592514
957	0.3725111967
958	0.3723675411
959	0.3722132881
960	0.3721449084
961	0.3720662125
962	0.3719880275
963	0.3718875063
964	0.371777247
965	0.3716834959
966	0.3716231565
967	0.3715846799
968	0.3715424339
969	0.3714336013
970	0.3713622734
971	0.371233572
972	0.3711109343
973	0.370876474
974	0.3707601498
975	0.3706870839
976	0.370447234
977	0.3702702146
978	0.3702215471
979	0.3701338804
980	0.3700759701
981	0.3699768106
982	0.3698162782
983	0.3697152126
984	0.3696162173
985	0.3695193145
986	0.3694475943
987	0.3693994791
988	0.369278712
989	0.3690941914
990	0.3689469949
991	0.3688898725
992	0.3688082436
993	0.3687341747
994	0.3686979238
995	0.3686366123
996	0.3685941709
997	0.3685056683
998	0.3684644287
999	0.3683041929
