iter	Passed	Remaining
167	10211	50572
168	10276	50530
169	10340	50484
170	10408	50458
171	10484	50470
172	10549	50428
173	10629	50458
174	10718	50531
175	10796	50547
176	10851	50457
177	10913	50398
178	10989	50402
179	11066	50416
180	11150	50454
181	11215	50408
182	11277	50347
183	11336	50275
184	11396	50206
185	11453	50123
186	11513	50056
187	11576	50001
188	11635	49927
189	11681	49801
190	11737	49717
191	11818	49736
192	11884	49691
193	11952	49659
194	12005	49560
195	12063	49483
196	12121	49407
197	12181	49341
198	12256	49335
199	12321	49287
200	12390	49254
201	12455	49203
202	12520	49158
203	12582	49096
204	12640	49021
205	12697	48939
206	12756	48868
207	12825	48835
208	12893	48798
209	12966	48780
210	13035	48745
211	13089	48654
212	13154	48604
213	13211	48525
214	13272	48460
215	13333	48396
216	13389	48311
217	13446	48235
218	13503	48155
219	13568	48104
220	13626	48030
221	13683	47954
222	13741	47878
223	13802	47815
224	13857	47731
225	13916	47662
226	13973	47582
227	14033	47518
228	14086	47427
229	14140	47338
230	14202	47280
231	14260	47206
232	14309	47105
233	14375	47057
234	14424	46956
235	14489	46907
236	14545	46827
237	14603	46755
238	14667	46701
239	14723	46622
240	14780	46548
241	14842	46490
242	14895	46403
243	14942	46296
244	15004	46238
245	15065	46176
246	15124	46109
247	15181	46033
248	15235	45950
249	15293	45880
250	15348	45801
251	15412	45748
252	15469	45675
253	15530	45612
254	15588	45543
255	15661	45515
256	15722	45455
257	15787	45404
258	15851	45350
259	15910	45282
260	15966	45208
261	16029	45152
262	16083	45069
263	16147	45016
264	16212	44966
265	16273	44906
266	16332	44839
267	16393	44776
268	16458	44725
269	16515	44652
270	16573	44582
271	16643	44546
272	16697	44465
273	16748	44378
274	16806	44306
275	16869	44253
276	16942	44220
277	17007	44170
278	17067	44105
279	17126	44038
280	17192	43989
281	17245	43909
282	17312	43863
283	17373	43801
284	17424	43714
285	17481	43642
286	17538	43571
287	17609	43534
288	17659	43445
289	17718	43378
290	17778	43315
291	17835	43245
292	17895	43182
293	17957	43122
294	18016	43055
295	18082	43005
296	18136	42929
297	18191	42853
298	18253	42796
299	18321	42750
300	18383	42691
301	18433	42604
302	18489	42532
303	18543	42455
304	18601	42386
305	18659	42319
306	18715	42246
307	18770	42172
308	18827	42102
309	18883	42031
310	18937	41955
311	18993	41884
312	19057	41828
313	19114	41759
314	19161	41667
315	19220	41604
316	19280	41540
317	19335	41467
318	19384	41383
319	19442	41316
320	19516	41282
321	19586	41241
322	19658	41202
323	19725	41154
324	19795	41113
325	19859	41058
326	19915	40988
327	19968	40911
328	20027	40847
329	20099	40808
330	20166	40760
331	20240	40725
332	20312	40685
333	20379	40637
334	20450	40595
335	20496	40505
336	20551	40433
337	20616	40378
338	20669	40303
339	20715	40211
340	20765	40130
341	20813	40043
342	20873	39981
343	20926	39906
344	20988	39847
345	21066	39819
346	21130	39765
347	21198	39717
348	21258	39654
349	21311	39577
350	21391	39553
351	21464	39514
352	21537	39474
353	21586	39391
354	21634	39307
355	21680	39219
356	21726	39131
357	21793	39081
358	21844	39004
359	21901	38935
360	21955	38863
361	22017	38804
362	22078	38743
363	22127	38662
364	22185	38596
365	22243	38531
366	22302	38467
367	22361	38404
368	22421	38340
369	22477	38271
370	22533	38203
371	22584	38126
372	22642	38061
373	22699	37993
374	22758	37930
375	22812	37859
376	22865	37786
377	22926	37725
378	22979	37652
379	23033	37580
380	23093	37519
381	23142	37440
382	23204	37380
383	23264	37319
384	23314	37242
385	23366	37168
386	23433	37118
387	23494	37059
388	23559	37004
389	23607	36924
390	23663	36857
391	23728	36802
392	23788	36742
393	23842	36670
394	23897	36602
395	23948	36527
396	24005	36461
397	24068	36404
398	24129	36345
399	24181	36272
400	24235	36202
401	24287	36129
402	24349	36070
403	24406	36005
404	24463	35939
405	24516	35868
406	24570	35799
407	24631	35739
408	24688	35675
409	24747	35611
410	24813	35560
411	24865	35488
412	24916	35414
413	24970	35344
414	25034	35289
415	25083	35213
416	25133	35138
417	25195	35080
418	25252	35016
419	25303	34943
420	25347	34860
421	25395	34783
422	25443	34706
423	25495	34635
424	25544	34560
425	25604	34499
426	25652	34424
427	25700	34346
428	25754	34278
429	25813	34218
430	25868	34151
431	25924	34086
432	25980	34020
433	26037	33956
434	26094	33893
435	26152	33829
436	26207	33764
437	26263	33699
438	26316	33630
439	26369	33561
440	26435	33508
441	26482	33432
442	26537	33365
443	26585	33291
444	26640	33226
445	26702	33168
446	26759	33105
447	26822	33048
448	26876	32981
449	26930	32915
450	26984	32848
451	27037	32780
452	27091	32712
453	27152	32654
454	27211	32593
455	27268	32530
456	27326	32469
457	27393	32417
458	27446	32350
459	27508	32292
460	27567	32231
461	27621	32165
462	27681	32106
463	27738	32042
464	27794	31978
465	27851	31915
466	27900	31843
467	27955	31778
468	28004	31706
469	28059	31641
470	28108	31569
471	28163	31504
472	28220	31442
473	28282	31385
474	28333	31315
475	28393	31256
476	28454	31198
477	28505	31129
478	28561	31065
479	28608	30992
480	28659	30923
481	28711	30855
482	28767	30793
483	28824	30730
484	28880	30667
485	28930	30597
486	28983	30530
487	29028	30456
488	29080	30388
489	29134	30323
490	29180	30250
491	29228	30179
492	29280	30112
493	29330	30042
494	29388	29981
495	29444	29919
496	29495	29851
497	29555	29792
498	29608	29727
499	29655	29655
500	29708	29589
501	29760	29522
502	29820	29464
503	29876	29401
504	29932	29340
505	29988	29276
506	30038	29208
507	30094	29147
508	30148	29082
509	30203	29018
510	30248	28945
511	30306	28885
512	30357	28818
513	30411	28754
514	30463	28689
515	30525	28632
516	30573	28562
517	30621	28493
518	30683	28436
519	30739	28374
520	30797	28314
521	30859	28258
522	30915	28195
523	30971	28133
524	31022	28068
525	31074	28002
526	31130	27940
527	31183	27876
528	31249	27823
529	31300	27757
530	31352	27691
531	31400	27623
532	31453	27558
533	31504	27492
534	31560	27430
535	31618	27370
536	31677	27312
537	31734	27251
538	31788	27188
539	31843	27126
540	31906	27070
541	31959	27006
542	32009	26940
543	32063	26876
544	32121	26817
545	32173	26752
546	32233	26694
547	32288	26632
548	32342	26569
549	32400	26509
550	32468	26458
551	32534	26404
552	32588	26341
553	32643	26279
554	32692	26213
555	32739	26144
556	32789	26078
557	32843	26015
558	32900	25955
559	32957	25895
560	33016	25836
561	33073	25775
562	33122	25709
563	33176	25646
564	33232	25586
565	33298	25532
566	33342	25462
567	33404	25406
568	33455	25341
569	33512	25281
570	33566	25218
571	33614	25152
572	33669	25090
573	33734	25036
574	33787	24973
575	33840	24910
576	33895	24848
577	33936	24777
578	33995	24718
579	34051	24657
580	34105	24595
581	34158	24533
582	34207	24467
583	34263	24407
584	34317	24344
585	34367	24279
586	34414	24213
587	34472	24154
588	34532	24096
589	34588	24035
590	34653	23981
591	34703	23917
592	34758	23855
593	34811	23793
594	34871	23735
595	34934	23680
596	35010	23633
597	35084	23585
598	35143	23526
599	35206	23471
600	35259	23408
601	35337	23362
602	35404	23309
603	35475	23259
604	35530	23197
605	35577	23130
606	35640	23075
607	35699	23016
608	35755	22956
609	35813	22897
610	35880	22843
611	35946	22789
612	36012	22735
613	36078	22681
614	36140	22624
615	36199	22566
616	36252	22503
617	36316	22448
618	36384	22394
619	36436	22332
620	36494	22272
621	36554	22214
622	36617	22158
623	36684	22104
624	36752	22051
625	36809	21991
626	36868	21932
627	36931	21876
628	36993	21819
629	37054	21762
630	37128	21712
631	37186	21652
632	37234	21587
633	37294	21529
634	37356	21472
635	37426	21420
636	37495	21366
637	37553	21308
638	37611	21248
639	37664	21186
640	37732	21132
641	37790	21073
642	37848	21013
643	37904	20953
644	37967	20896
645	38022	20835
646	38087	20780
647	38139	20717
648	38190	20654
649	38250	20596
650	38315	20541
651	38376	20483
652	38447	20430
653	38516	20377
654	38573	20317
655	38623	20253
656	38687	20197
657	38742	20136
658	38799	20076
659	38855	20016
660	38920	19960
661	38999	19912
662	39070	19859
663	39131	19801
664	39203	19749
665	39279	19698
666	39347	19644
667	39408	19586
668	39487	19537
669	39556	19482
670	39617	19425
671	39682	19368
672	39743	19310
673	39803	19251
674	39860	19191
675	39918	19132
676	39969	19069
677	40030	19011
678	40085	18950
679	40137	18888
680	40198	18830
681	40264	18774
682	40322	18714
683	40374	18652
684	40440	18596
685	40497	18536
686	40551	18475
687	40619	18420
688	40687	18365
689	40736	18301
690	40800	18245
691	40862	18187
692	40925	18130
693	40989	18073
694	41044	18012
695	41098	17951
696	41154	17890
697	41221	17835
698	41281	17776
699	41340	17717
700	41398	17657
701	41456	17598
702	41514	17538
703	41571	17479
704	41640	17423
705	41704	17367
706	41768	17310
707	41831	17252
708	41887	17192
709	41936	17129
710	41994	17069
711	42048	17008
712	42112	16951
713	42173	16893
714	42225	16831
715	42289	16774
716	42352	16716
717	42412	16657
718	42464	16595
719	42527	16538
720	42585	16478
721	42646	16420
722	42697	16358
723	42756	16299
724	42812	16239
725	42887	16186
726	42957	16131
727	43026	16075
728	43090	16018
729	43147	15958
730	43196	15895
731	43261	15838
732	43312	15777
733	43378	15720
734	43423	15656
735	43480	15596
736	43540	15537
737	43591	15475
738	43648	15415
739	43706	15356
740	43768	15298
741	43845	15245
742	43910	15188
743	43978	15132
744	44033	15071
745	44092	15012
746	44152	14954
747	44212	14894
748	44272	14836
749	44331	14777
750	44388	14717
751	44440	14656
752	44496	14595
753	44558	14537
754	44613	14477
755	44666	14416
756	44734	14359
757	44801	14303
758	44870	14247
759	44932	14189
760	44983	14127
761	45028	14063
762	45088	14005
763	45149	13946
764	45215	13889
765	45284	13833
766	45349	13776
767	45410	13717
768	45465	13657
769	45515	13595
770	45581	13538
771	45636	13478
772	45692	13418
773	45755	13360
774	45809	13299
775	45866	13239
776	45924	13180
777	45984	13121
778	46045	13063
779	46099	13002
780	46166	12945
781	46216	12883
782	46278	12825
783	46337	12766
784	46398	12707
785	46452	12647
786	46508	12587
787	46562	12526
788	46617	12466
789	46674	12407
790	46734	12348
791	46789	12288
792	46845	12228
793	46902	12168
794	46952	12107
795	47008	12047
796	47066	11987
797	47117	11927
798	47175	11867
799	47236	11809
800	47290	11748
801	47343	11688
802	47403	11629
803	47466	11571
804	47515	11509
805	47571	11450
806	47636	11392
807	47692	11332
808	47754	11274
809	47813	11215
810	47873	11156
811	47931	11097
812	47985	11037
813	48052	10980
814	48116	10922
815	48170	10861
816	48222	10801
817	48275	10740
818	48335	10682
819	48396	10623
820	48451	10563
821	48501	10502
822	48562	10444
823	48622	10385
824	48680	10326
825	48732	10265
826	48780	10204
827	48841	10145
828	48894	10085
829	48945	10025
830	49004	9966
831	49063	9907
832	49122	9848
833	49176	9788
834	49232	9728
835	49288	9669
836	49347	9610
837	49403	9550
838	49460	9491
839	49519	9432
840	49574	9372
841	49626	9312
842	49675	9251
843	49726	9191
844	49792	9133
845	49848	9074
846	49903	9014
847	49958	8954
848	50004	8893
849	50064	8834
850	50118	8775
851	50172	8715
852	50230	8656
853	50288	8597
854	50342	8537
855	50393	8477
856	50444	8417
857	50503	8358
858	50558	8298
859	50619	8240
860	50679	8181
861	50734	8122
862	50784	8061
863	50839	8002
864	50898	7943
865	50958	7885
866	51010	7825
867	51068	7766
868	51128	7707
869	51184	7648
870	51236	7588
871	51300	7530
872	51357	7471
873	51415	7412
874	51468	7352
875	51519	7292
876	51570	7232
877	51626	7173
878	51680	7114
879	51734	7054
880	51789	6995
881	51843	6935
882	51898	6876
883	51951	6817
884	52006	6757
885	52071	6699
886	52117	6639
887	52176	6580
888	52233	6521
889	52288	6462
890	52333	6402
891	52384	6342
892	52442	6283
893	52499	6224
894	52562	6166
895	52616	6107
896	52666	6047
897	52719	5988
898	52779	5929
899	52838	5870
900	52903	5812
901	52955	5753
902	53009	5694
903	53068	5635
904	53125	5576
905	53172	5516
906	53230	5458
907	53288	5399
908	53344	5340
909	53403	5281
910	53462	5223
911	53518	5164
912	53574	5105
913	53628	5046
914	53679	4986
915	53736	4927
916	53791	4868
917	53848	4809
918	53903	4751
919	53957	4691
920	54012	4632
921	54074	4574
922	54126	4515
923	54179	4456
924	54231	4397
925	54285	4338
926	54340	4279
927	54394	4220
928	54444	4160
929	54502	4102
930	54556	4043
931	54613	3984
932	54664	3925
933	54714	3866
934	54772	3807
935	54826	3748
936	54875	3689
937	54937	3631
938	54992	3572
939	55046	3513
940	55103	3454
941	55159	3396
942	55218	3337
943	55276	3279
944	55336	3220
945	55393	3162
946	55453	3103
947	55512	3044
948	55575	2986
949	55630	2927
950	55691	2869
951	55750	2810
952	55807	2752
953	55857	2693
954	55910	2634
955	55958	2575
956	56009	2516
957	56063	2457
958	56121	2399
959	56174	2340
960	56235	2282
961	56288	2223
962	56344	2164
963	56401	2106
964	56455	2047
965	56511	1989
966	56564	1930
967	56608	1871
968	56658	1812
969	56711	1753
970	56769	1695
971	56825	1636
972	56881	1578
973	56942	1520
974	57000	1461
975	57054	1402
976	57111	1344
977	57164	1285
978	57223	1227
979	57278	1168
980	57328	1110
981	57383	1051
982	57445	993
983	57502	935
984	57556	876
985	57610	818
986	57661	759
987	57713	700
988	57770	642
989	57827	584
990	57887	525
991	57940	467
992	57997	408
993	58051	350
994	58100	291
995	58153	233
996	58203	175
997	58250	116
998	58293	58
999	58355	0
